"Authors","Author full names","Author(s) ID","Title","Year","Source title","DOI","Link","ISSN","ISBN","CODEN","PubMed ID","EID"
"Adams R.I.; Bhangar S.; Pasut W.; Arens E.A.; Taylor J.W.; Lindow S.E.; Nazaroff W.W.; Bruns T.D.","Adams, Rachel I. (12774416300); Bhangar, Seema (24334294000); Pasut, Wilmer (37056030700); Arens, Edward A. (19933790300); Taylor, John W. (56302539500); Lindow, Steven E. (7006543472); Nazaroff, William W. (7006235747); Bruns, Thomas D. (35578568900)","12774416300; 24334294000; 37056030700; 19933790300; 56302539500; 7006543472; 7006235747; 35578568900","Chamber bioaerosol study: Outdoor air and human occupants as sources of indoor airborne microbes","2015","PLoS ONE","10.1371/journal.pone.0128022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84932649556&doi=10.1371%2fjournal.pone.0128022&partnerID=40&md5=72bf3c9f2885c3a995a08c663c5e9339","19326203","","POLNC","26024222","2-s2.0-84932649556"
"Grajales-Reyes G.E.; Iwata A.; Albring J.; Wu X.; Tussiwand R.; Kc W.; Kretzer N.M.; Briseño C.G.; Durai V.; Bagadia P.; Haldar M.; Schönheit J.; Rosenbauer F.; Murphy T.L.; Murphy K.M.","Grajales-Reyes, Gary E. (35589890700); Iwata, Arifumi (35299510100); Albring, Jörn (6506861097); Wu, Xiaodi (55756248800); Tussiwand, Roxane (8933747200); Kc, Wumesh (25222936400); Kretzer, Nicole M. (36702909300); Briseño, Carlos G. (54400708600); Durai, Vivek (56088955400); Bagadia, Prachi (56677795000); Haldar, Malay (36922310100); Schönheit, Jörg (36615683000); Rosenbauer, Frank (55910713700); Murphy, Theresa L. (7401631982); Murphy, Kenneth M. (7402861594)","35589890700; 35299510100; 6506861097; 55756248800; 8933747200; 25222936400; 36702909300; 54400708600; 56088955400; 56677795000; 36922310100; 36615683000; 55910713700; 7401631982; 7402861594","Batf3 maintains autoactivation of Irf8 for commitment of a CD8α + conventional DC clonogenic progenitor","2015","Nature Immunology","10.1038/ni.3197","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931406064&doi=10.1038%2fni.3197&partnerID=40&md5=4cf94afa9e12f13c885b3d96b3a0ab44","15292908","","NIAMC","26054719","2-s2.0-84931406064"
"Zhao L.; Oliver E.; Maratou K.; Atanur S.S.; Dubois O.D.; Cotroneo E.; Chen C.-N.; Wang L.; Arce C.; Chabosseau P.L.; Ponsa-Cobas J.; Frid M.G.; Moyon B.; Webster Z.; Aldashev A.; Ferrer J.; Rutter G.A.; Stenmark K.R.; Aitman T.J.; Wilkins M.R.","Zhao, Lan (55493562400); Oliver, Eduardo (25640140800); Maratou, Klio (6506240357); Atanur, Santosh S. (25627517600); Dubois, Olivier D. (8311125800); Cotroneo, Emanuele (24070068200); Chen, Chien-Nien (55221359800); Wang, Lei (57022532200); Arce, Cristina (57213294544); Chabosseau, Pauline L. (36458299600); Ponsa-Cobas, Joan (55441005700); Frid, Maria G. (7003657746); Moyon, Benjamin (55363160900); Webster, Zoe (23478435400); Aldashev, Almaz (59267266100); Ferrer, Jorge (7202496967); Rutter, Guy A. (7007054928); Stenmark, Kurt R. (7006370544); Aitman, Timothy J. (26643597700); Wilkins, Martin R. (7102324937)","55493562400; 25640140800; 6506240357; 25627517600; 8311125800; 24070068200; 55221359800; 57022532200; 57213294544; 36458299600; 55441005700; 7003657746; 55363160900; 23478435400; 59267266100; 7202496967; 7007054928; 7006370544; 26643597700; 7102324937","The zinc transporter ZIP12 regulates the pulmonary vascular response to chronic hypoxia","2015","Nature","10.1038/nature14620","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939815593&doi=10.1038%2fnature14620&partnerID=40&md5=3ca2f62da8a1514a098bf9dbaa22f903","00280836","","NATUA","26258299","2-s2.0-84939815593"
"Thomas L.R.; Wang Q.; Grieb B.C.; Phan J.; Foshage A.M.; Sun Q.; Olejniczak E.T.; Clark T.; Dey S.; Lorey S.; Alicie B.; Howard G.C.; Cawthon B.; Ess K.C.; Eischen C.M.; Zhao Z.; Fesik S.W.; Tansey W.P.","Thomas, Lance R. (7403527176); Wang, Qingguo (55698152200); Grieb, Brian C. (24450376400); Phan, Jason (56432527900); Foshage, Audra M. (55365493900); Sun, Qi (55258242400); Olejniczak, Edward T. (7003490320); Clark, Travis (7403217106); Dey, Soumyadeep (59843894000); Lorey, Shelly (25632347300); Alicie, Bethany (26640162900); Howard, Gregory C. (54420318300); Cawthon, Bryan (55335077100); Ess, Kevin C. (6506329310); Eischen, Christine M. (6603350669); Zhao, Zhongming (57755838500); Fesik, Stephen W. (7103359639); Tansey, William P. (7004440667)","7403527176; 55698152200; 24450376400; 56432527900; 55365493900; 55258242400; 7003490320; 7403217106; 59843894000; 25632347300; 26640162900; 54420318300; 55335077100; 6506329310; 6603350669; 57755838500; 7103359639; 7004440667","Interaction with WDR5 promotes target gene recognition and tumorigenesis by MYC","2015","Molecular Cell","10.1016/j.molcel.2015.02.028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928928863&doi=10.1016%2fj.molcel.2015.02.028&partnerID=40&md5=cc8d8301ad67dca22fbff53d12a422c2","10972765","","MOCEF","25818646","2-s2.0-84928928863"
"Zhang Y.; He Y.; Zheng G.; Wei C.","Zhang, Yizhe (57216697412); He, Yupeng (55873816900); Zheng, Guangyong (7402224218); Wei, Chaochun (55470612000)","57216697412; 55873816900; 7402224218; 55470612000","MOST+: A de novo motif finding approach combining genomic sequence and heterogeneous genome-wide signatures","2015","BMC Genomics","10.1186/1471-2164-16-S7-S13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969204448&doi=10.1186%2f1471-2164-16-S7-S13&partnerID=40&md5=f0d9225e1ba12ceef9e7fc22f8f00708","14712164","","BGMEE","26099518","2-s2.0-84969204448"
"Witte S.; O'Shea J.J.; Vahedi G.","Witte, Steven (56785428400); O'Shea, John J. (35416417300); Vahedi, Golnaz (24399757400)","56785428400; 35416417300; 24399757400","Super-enhancers: Asset management in immune cell genomes","2015","Trends in Immunology","10.1016/j.it.2015.07.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940595889&doi=10.1016%2fj.it.2015.07.005&partnerID=40&md5=fcb6fcce19d39d8dc067d729180e4aa3","14714906","","TIRMA","26277449","2-s2.0-84940595889"
"Maehara K.; Ohkawa Y.","Maehara, Kazumitsu (54380336700); Ohkawa, Yasuyuki (8415064400)","54380336700; 8415064400","Agplus: A rapid and flexible tool for aggregation plots","2015","Bioinformatics","10.1093/bioinformatics/btv322","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941765081&doi=10.1093%2fbioinformatics%2fbtv322&partnerID=40&md5=5aa97ea3620673bea18b9a0cb7a5e40a","13674803","","BOINF","25995229","2-s2.0-84941765081"
"Somasundaram R.; Prasad M.A.J.; Ungerbäck J.; Sigvardsson M.","Somasundaram, Rajesh (56702339200); Prasad, Mahadesh A. J. (56701823200); Ungerbäck, Jonas (24280374000); Sigvardsson, Mikael (7003294357)","56702339200; 56701823200; 24280374000; 7003294357","Transcription factor networks in B-cell differentiation link development to acute lymphoid leukemia","2015","Blood","10.1182/blood-2014-12-575688","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937786788&doi=10.1182%2fblood-2014-12-575688&partnerID=40&md5=002c9bd60a9ebf35e13526a4d6704bb1","00064971","","BLOOA","25990863","2-s2.0-84937786788"
"Yang X.; Shao X.; Gao L.; Zhang S.","Yang, Xiaofei (51261568500); Shao, Xiaojian (35280890300); Gao, Lin (7401800666); Zhang, Shihua (35590912000)","51261568500; 35280890300; 7401800666; 35590912000","Systematic DNA methylation analysis of multiple cell lines reveals common and specific patterns within and across tissues of origin","2015","Human Molecular Genetics","10.1093/hmg/ddv172","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943543379&doi=10.1093%2fhmg%2fddv172&partnerID=40&md5=32c1bc38b4e6588c76a54b7dd1b10db6","09646906","","HMGEE","25954028","2-s2.0-84943543379"
"Nieminen T.; Toivanen P.I.; Laakkonen J.P.; Heikura T.; Kaikkonen M.U.; Airenne K.J.; Ylä-Herttuala S.","Nieminen, Tiina (26967945400); Toivanen, Pyry I. (8892684500); Laakkonen, Johanna P. (23485716800); Heikura, Tommi (7801651333); Kaikkonen, Minna U. (16834933100); Airenne, Kari J. (6602575114); Ylä-Herttuala, Seppo (7101926633)","26967945400; 8892684500; 23485716800; 7801651333; 16834933100; 6602575114; 7101926633","Slit2 modifies VEGF-induced angiogenic responses in rabbit skeletal muscle via reduced eNOS activity","2015","Cardiovascular Research","10.1093/cvr/cvv161","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938894377&doi=10.1093%2fcvr%2fcvv161&partnerID=40&md5=0c97567017a225b154b6fe71c1cc5c15","00086363","","CVREA","26002231","2-s2.0-84938894377"
"Kok K.; Ay A.; Li L.M.; Arnosti D.N.","Kok, Kurtulus (56529132000); Ay, Ahmet (36807941500); Li, Li M. (56052049500); Arnosti, David N. (35554993200)","56529132000; 36807941500; 56052049500; 35554993200","Genome-wide errant targeting by Hairy","2015","eLife","10.7554/eLife.06394","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940487368&doi=10.7554%2feLife.06394&partnerID=40&md5=4c332d0cfeb40e1f14a39df355d4ecbb","2050084X","","","26305409","2-s2.0-84940487368"
"Becker K.; Beer C.; Freitag M.; Kück U.","Becker, Kordula (56642271900); Beer, Christina (35981841900); Freitag, Michael (7005690560); Kück, Ulrich (7006706626)","56642271900; 35981841900; 7005690560; 7006706626","Genome-wide identification of target genes of a mating-type α-domain transcription factor reveals functions beyond sexual development","2015","Molecular Microbiology","10.1111/mmi.12987","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929259266&doi=10.1111%2fmmi.12987&partnerID=40&md5=141eab51b8c4a90f265227faa8e1180c","0950382X","","MOMIE","25728030","2-s2.0-84929259266"
"Kim Y.; Aw T.G.; Teal T.K.; Rose J.B.","Kim, Yiseul (55699561300); Aw, Tiong Gim (28767524400); Teal, Tracy K. (35312485800); Rose, Joan B. (35427522400)","55699561300; 28767524400; 35312485800; 35427522400","Metagenomic Investigation of Viral Communities in Ballast Water","2015","Environmental Science and Technology","10.1021/acs.est.5b01633","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937510422&doi=10.1021%2facs.est.5b01633&partnerID=40&md5=8457ab7a038a4dcbd25b6fa5805fca24","0013936X","","ESTHA","26107908","2-s2.0-84937510422"
"Kartashov A.V.; Barski A.","Kartashov, Andrey V. (55537073400); Barski, Artem (57207706583)","55537073400; 57207706583","BioWardrobe: An integrated platform for analysis of epigenomics and transcriptomics data","2015","Genome Biology","10.1186/s13059-015-0720-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937705886&doi=10.1186%2fs13059-015-0720-3&partnerID=40&md5=92da4f0bc65993ed55da4576ff649e04","14747596","","GNBLF","26248465","2-s2.0-84937705886"
"Coetzee S.G.; Coetzee G.A.; Hazelett D.J.","Coetzee, Simon G. (15128476600); Coetzee, Gerhard A. (7006426612); Hazelett, Dennis J. (8787604200)","15128476600; 7006426612; 8787604200","MotifbreakR: An R/Bioconductor package for predicting variant effects at transcription factor binding sites","2015","Bioinformatics","10.1093/bioinformatics/btv470","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950293634&doi=10.1093%2fbioinformatics%2fbtv470&partnerID=40&md5=60844d14d00f3f25d0f20d2f9c67b2ee","13674803","","BOINF","26272984","2-s2.0-84950293634"
"Thomas G.; Tacke R.; Hedrick C.C.; Hanna R.N.","Thomas, Graham (55522958800); Tacke, Robert (23101497100); Hedrick, Catherine C. (7005926975); Hanna, Richard N. (14319025300)","55522958800; 23101497100; 7005926975; 14319025300","Nonclassical Patrolling Monocyte Function in the Vasculature","2015","Arteriosclerosis, Thrombosis, and Vascular Biology","10.1161/ATVBAHA.114.304650","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84933035566&doi=10.1161%2fATVBAHA.114.304650&partnerID=40&md5=91901946b42aa3bdc537ef9c1c574a61","10795642","","ATVBF","25838429","2-s2.0-84933035566"
"Lee H.-Y.; Gao X.; Barrasa M.I.; Li H.; Elmes R.R.; Peters L.L.; Lodish H.F.","Lee, Hsiang-Ying (35488164200); Gao, Xiaofei (57195693941); Barrasa, M. Inmaculada (6602763407); Li, Hu (37052415300); Elmes, Russell R. (56008719600); Peters, Luanne L. (7202838398); Lodish, Harvey F. (36050903500)","35488164200; 57195693941; 6602763407; 37052415300; 56008719600; 7202838398; 36050903500","PPAR-α and glucocorticoid receptor synergize to promote erythroid progenitor self-renewal","2015","Nature","10.1038/nature14326","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84933074090&doi=10.1038%2fnature14326&partnerID=40&md5=50854fb95511c913765e1f24b64b42cd","00280836","","NATUA","25970251","2-s2.0-84933074090"
"Ungerbäck J.; Åhsberg J.; Strid T.; Somasundaram R.; Sigvardsson M.","Ungerbäck, Jonas (24280374000); Åhsberg, Josefine (36627974800); Strid, Tobias (23095855900); Somasundaram, Rajesh (56702339200); Sigvardsson, Mikael (7003294357)","24280374000; 36627974800; 23095855900; 56702339200; 7003294357","Combined heterozygous loss of Ebf1 and Pax5 allows for T-lineage conversion of B cell progenitors","2015","Journal of Experimental Medicine","10.1084/jem.20132100","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954118365&doi=10.1084%2fjem.20132100&partnerID=40&md5=a55eb24359d9845cd3471da3d00da0b3","00221007","","JEMEA","26056231","2-s2.0-84954118365"
"Cohen D.M.; Won K.-J.; Nguyen N.; Lazar M.A.; Chen C.S.; Steger D.J.","Cohen, Daniel M. (35228669700); Won, Kyoung-Jae (7005951437); Nguyen, Nha (24473191500); Lazar, Mitchell A. (7201649830); Chen, Christopher S. (8108632500); Steger, David J. (6701760149)","35228669700; 7005951437; 24473191500; 7201649830; 8108632500; 6701760149","Atf4 licenses C/EBPβ activity in human mesenchymal stem cells primed for adipogenesis","2015","eLife","10.7554/eLife.06821.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937416873&doi=10.7554%2feLife.06821.001&partnerID=40&md5=00e76759929e450233680105e06d82d1","2050084X","","","26111340","2-s2.0-84937416873"
"Thiffault I.; Wolf N.I.; Forget D.; Guerrero K.; Tran L.T.; Choquet K.; Lavallée-Adam M.; Poitras C.; Brais B.; Yoon G.; Sztriha L.; Webster R.I.; Timmann D.; Van De Warrenburg B.P.; Seeger J.; Zimmermann A.; Máté A.; Goizet C.; Fung E.; Van Der Knaap M.S.; Fribourg S.; Vanderver A.; Simons C.; Taft R.J.; Yates J.R., III; Coulombe B.; Bernard G.","Thiffault, Isabelle (6603498530); Wolf, Nicole I. (7102142033); Forget, Diane (7003850131); Guerrero, Kether (55175841300); Tran, Luan T. (56215606200); Choquet, Karine (54414046200); Lavallée-Adam, Mathieu (26635461100); Poitras, Christian (34572151900); Brais, Bernard (6603852087); Yoon, Grace (23020466100); Sztriha, Laszlo (57219982238); Webster, Richard I. (7402927699); Timmann, Dagmar (7005796411); Van De Warrenburg, Bart P. (59454509300); Seeger, Jürgen (7102600487); Zimmermann, Alíz (56148679100); Máté, Adrienn (37031499000); Goizet, Cyril (26642869000); Fung, Eva (7005440778); Van Der Knaap, Marjo S. (7006627134); Fribourg, Sébastien (7006745292); Vanderver, Adeline (57209456111); Simons, Cas (14030276800); Taft, Ryan J. (15729584000); Yates, John R. (57202068397); Coulombe, Benoit (7004632340); Bernard, Geneviève (57190244878)","6603498530; 7102142033; 7003850131; 55175841300; 56215606200; 54414046200; 26635461100; 34572151900; 6603852087; 23020466100; 57219982238; 7402927699; 7005796411; 59454509300; 7102600487; 56148679100; 37031499000; 26642869000; 7005440778; 7006627134; 7006745292; 57209456111; 14030276800; 15729584000; 57202068397; 7004632340; 57190244878","Recessive mutations in POLR1C cause a leukodystrophy by impairing biogenesis of RNA polymerase III","2015","Nature Communications","10.1038/ncomms8623","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84936804889&doi=10.1038%2fncomms8623&partnerID=40&md5=46f072b31ddd803a0d265adbe996cf2d","20411723","","","26151409","2-s2.0-84936804889"
